#,,Building Name,City,Height (m),Height (ft),Floors,Completion,Material,Use
344,,Sun Tuen Mun Centre 2,Hong Kong (CN),150.3,493,48,1991,concrete,residential
344,,Sun Tuen Mun Centre 3,Hong Kong (CN),150.3,493,48,1991,concrete,residential
344,,Sun Tuen Mun Centre 4,Hong Kong (CN),150.3,493,48,1991,concrete,residential
344,,Sun Tuen Mun Centre 5,Hong Kong (CN),150.3,493,48,1991,concrete,residential
344,,Sun Tuen Mun Centre 6,Hong Kong (CN),150.3,493,48,1991,concrete,residential
344,,Sun Tuen Mun Centre 7,Hong Kong (CN),150.3,493,48,1991,concrete,residential
344,,Sun Tuen Mun Centre 8,Hong Kong (CN),150.3,493,48,1991,concrete,residential
344,,Sun Tuen Mun Centre 9,Hong Kong (CN),150.3,493,48,1991,concrete,residential
354,,Robinson Place Tower B,Hong Kong (CN),150.2,493,48,1994,concrete,residential
355,,Broadview Villa,Hong Kong (CN),150,492,50,1996,concrete,residential
356,,VISTA,Hong Kong (CN),150,492,46,2008,concrete,residential / retail
357,,Goldin Financial Global Centre,Hong Kong (CN),150,492,27,2016,,office
358,,Manulife Tower,Hong Kong (CN),150,492,45,1990,,office
359,,Serenity Place 1,Hong Kong (CN),149.9,492,45,2000,concrete,residential
359,,Serenity Place 2,Hong Kong (CN),149.9,492,45,2000,concrete,residential
359,,Serenity Place 4,Hong Kong (CN),149.9,492,45,2000,concrete,residential
359,,Serenity Place 5,Hong Kong (CN),149.9,492,45,2000,concrete,residential
363,,Broadview Court 3,Hong Kong (CN),149,489,47,2001,concrete,residential
363,,Broadview Court 4,Hong Kong (CN),149,489,47,2001,concrete,residential
365,,Renaissance Harbour View Hotel,Hong Kong (CN),148.9,489,51,1989,,hotel
366,,Maritime Bay 1,Hong Kong (CN),148.9,489,49,1998,concrete,residential
366,,Maritime Bay 2,Hong Kong (CN),148.9,489,49,1998,concrete,residential
368,,Hong Kong Sanitorium & Hospital - Li Shu Pui Block,Hong Kong (CN),148.5,487,38,2008,composite,hospital
369,,Villa Esplanada 10,Hong Kong (CN),148,486,44,2001,concrete,residential
369,,Villa Esplanada 11,Hong Kong (CN),148,486,44,2001,concrete,residential
369,,Villa Esplanada 8,Hong Kong (CN),148,486,44,2001,concrete,residential
369,,Villa Esplanada 9,Hong Kong (CN),148,486,44,2001,concrete,residential
373,,City Point Tower 7,Hong Kong (CN),148,486,44,2015,concrete,residential
373,,City Point Tower 8,Hong Kong (CN),148,486,44,2015,concrete,residential
375,,Bel Air Heights 1,Hong Kong (CN),147.5,484,50,1999,concrete,residential
375,,Bel Air Heights 2,Hong Kong (CN),147.5,484,50,1999,concrete,residential
377,,Birchwood Place,Hong Kong (CN),147.2,483,44,1989,concrete,residential
378,,Century Gateway 3,Hong Kong (CN),147.2,483,38,2014,concrete,residential
379,,Park Avenue Tower 1,Hong Kong (CN),147,482,48,2000,concrete,residential
379,,Park Avenue Tower 2,Hong Kong (CN),147,482,48,2000,concrete,residential
379,,Park Avenue Tower 3,Hong Kong (CN),147,482,48,2000,concrete,residential
379,,Park Avenue Tower 5,Hong Kong (CN),147,482,48,2000,concrete,residential
383,,Radiant Towers 1,Hong Kong (CN),146.9,482,47,1997,concrete,residential
383,,Radiant Towers 2,Hong Kong (CN),146.9,482,47,1997,concrete,residential
385,,The Colonnade,Hong Kong (CN),146.7,481,33,2001,concrete,residential
386,,Serenity Place 3,Hong Kong (CN),146.5,481,44,2000,concrete,residential
387,,The Zenith 2,Hong Kong (CN),146,479,46,2007,concrete,residential
387,,The Zenith 3,Hong Kong (CN),146,479,46,2007,concrete,residential
389,,Bank of America Tower,Hong Kong (CN),146,479,38,1975,,office
390,,Great Eagle Centre,Hong Kong (CN),146,479,35,1983,,office
390,,Harbour Centre,Hong Kong (CN),146,479,35,1983,,office
392,,MLC Millennia Plaza,Hong Kong (CN),145.7,478,30,1999,steel,office
393,,Kornville Tower 1,Hong Kong (CN),145.6,478,49,1995,concrete,residential
393,,Kornville Tower 2,Hong Kong (CN),145.6,478,49,1995,concrete,residential
395,,Grand Terrace,Hong Kong (CN),145.6,478,46,2001,concrete,residential
396,,Century Gateway 7,Hong Kong (CN),145.4,477,40,2014,concrete,residential
397,,Tierra Verde 1,Hong Kong (CN),145,476,51,2000,concrete,residential
398,,The Pinnacle 1,Hong Kong (CN),145,476,50,1999,concrete,residential
398,,The Pinnacle 2,Hong Kong (CN),145,476,50,1999,concrete,residential
398,,The Pinnacle 3,Hong Kong (CN),145,476,50,1999,concrete,residential
398,,The Pinnacle 4,Hong Kong (CN),145,476,50,1999,concrete,residential
402,,Broad View Villa,Hong Kong (CN),145,476,49,1995,concrete,residential
403,,New Haven 1-3,Hong Kong (CN),145,476,41,2003,concrete,residential
404,,Western Harbour Centre,Hong Kong (CN),144.3,473,29,1997,,office
405,,Three Exchange Square,Hong Kong (CN),144,472,32,1988,concrete,office
406,,Broadview Court 1,Hong Kong (CN),143.9,472,45,2001,concrete,residential
406,,Broadview Court 2,Hong Kong (CN),143.9,472,45,2001,concrete,residential
408,,iSQUARE,Hong Kong (CN),143.7,471,27,2009,concrete,retail
409,,Discovery Park Tower 1,Hong Kong (CN),143.3,470,48,1998,concrete,residential
409,,Discovery Park Tower 2,Hong Kong (CN),143.3,470,48,1998,concrete,residential
409,,Discovery Park Tower 3,Hong Kong (CN),143.3,470,48,1998,concrete,residential
409,,Discovery Park Tower 5,Hong Kong (CN),143.3,470,48,1998,concrete,residential
413,,Villa Esplanada 3,Hong Kong (CN),142.6,468,40,2001,concrete,residential
413,,Villa Esplanada 5,Hong Kong (CN),142.6,468,40,2001,concrete,residential
413,,Villa Esplanada 6,Hong Kong (CN),142.6,468,40,2001,concrete,residential
413,,Villa Esplanada 7,Hong Kong (CN),142.6,468,40,2001,concrete,residential
417,,Dah Sing Financial Centre,Hong Kong (CN),142.5,467,39,1991,,office
418,,The Waterfront 1,Hong Kong (CN),142.5,467,46,2000,concrete,residential
418,,The Waterfront 2,Hong Kong (CN),142.5,467,46,2000,concrete,residential
418,,The Waterfront 3,Hong Kong (CN),142.5,467,46,2000,concrete,residential
418,,The Waterfront 5,Hong Kong (CN),142.5,467,46,2000,concrete,residential
418,,The Waterfront 6,Hong Kong (CN),142.5,467,46,2000,concrete,residential
418,,The Waterfront 7,Hong Kong (CN),142.5,467,46,2000,concrete,residential
424,,Sing Pao Centre,Hong Kong (CN),142.4,467,27,2000,,residential
425,,633 Kings Road,Hong Kong (CN),142.3,467,35,2007,,office
426,,Tierra Verde 2,Hong Kong (CN),142.2,467,50,1999,concrete,residential
426,,Tierra Verde 3,Hong Kong (CN),142.2,467,50,1999,concrete,residential
426,,Tierra Verde 3A,Hong Kong (CN),142.2,467,50,1999,concrete,residential
426,,Tierra Verde 5,Hong Kong (CN),142.2,467,50,1999,concrete,residential
430,,The Manhattan,Hong Kong (CN),142.1,466,48,1986,concrete,residential
431,,Windsor House,Hong Kong (CN),142,466,42,1978,concrete,office / retail
432,,Morrison Plaza,Hong Kong (CN),142,466,34,1996,,office
433,,Well On Garden 1,Hong Kong (CN),141.2,463,44,1994,concrete,residential
433,,Well On Garden 2,Hong Kong (CN),141.2,463,44,1994,concrete,residential
433,,Well On Garden 3,Hong Kong (CN),141.2,463,44,1994,concrete,residential
433,,Well On Garden 4,Hong Kong (CN),141.2,463,44,1994,concrete,residential
437,,Oscar by The Sea Tower 1,Hong Kong (CN),141.2,463,42,2002,concrete,residential
438,,Nan Fung Plaza 5,Hong Kong (CN),141,463,45,2000,concrete,residential
439,,Ibis Hong Kong Central and Sheung Wan Hotel,Hong Kong (CN),141,463,33,2012,concrete,hotel
440,,Villa Esplanada 1,Hong Kong (CN),140.7,461,39,2001,composite,residential
440,,Villa Esplanada 2,Hong Kong (CN),140.7,461,39,2001,concrete,residential
442,,Oscar by the Sea Tower 2,Hong Kong (CN),140.4,461,46,2002,concrete,residential
443,,Nan Fung Plaza 6,Hong Kong (CN),140,459,45,2000,concrete,residential
444,,Lexington Hill,Hong Kong (CN),140,459,43,2014,concrete,residential
445,,Imperial Cullinan Tower 1,Hong Kong (CN),140,459,33,2012,concrete,residential
445,,Imperial Cullinan Tower 2,Hong Kong (CN),140,459,33,2012,concrete,residential
445,,Imperial Cullinan Tower 3,Hong Kong (CN),140,459,33,2012,concrete,residential
445,,Imperial Cullinan Tower 5,Hong Kong (CN),140,459,33,2012,concrete,residential
445,,Imperial Cullinan Tower 8,Hong Kong (CN),140,459,33,2012,concrete,residential
445,,United Centre,Hong Kong (CN),140,459,33,1981,,office
451,,"Larvotto Towers 1, 2",Hong Kong (CN),139.8,459,35,2011,concrete,residential
451,,"Larvotto Towers 3, 5, 6, 7",Hong Kong (CN),139.8,459,35,2011,concrete,residential
453,,Millennium City 1 - Tower 1,Hong Kong (CN),139.8,459,32,1998,,office
454,,Century Gateway 8,Hong Kong (CN),139.3,457,38,2014,concrete,residential
455,,Argenta,Hong Kong (CN),139,456,36,2013,concrete,residential
456,,Princeton Tower,Hong Kong (CN),138.7,455,41,2004,,residential
457,,Wu Chung House,Hong Kong (CN),138.4,454,40,1991,,office
458,,East,Hong Kong (CN),138.4,454,32,2010,concrete,hotel
459,,AIA Financial Centre,Hong Kong (CN),138.4,454,27,2009,,office
460,,"The Avenue Phase 2, T1",Hong Kong (CN),138,453,33,2015,concrete,residential
461,,Kerry Centre,Hong Kong (CN),138,453,30,2011,,office
462,,Millennium City 1 - Standard Chartered Tower,Hong Kong (CN),137.8,452,32,1998,,office
463,,Two Chinachem Central,Hong Kong (CN),137.7,452,27,2017,concrete,office / retail
464,,Berkshire House,Hong Kong (CN),137.2,450,31,1998,,office
465,,50 Connaught Road Central,Hong Kong (CN),137.2,450,26,2011,,office
466,,Chater House,Hong Kong (CN),137,449,30,2002,,office
467,,Queen Mary Hospital Block K,Hong Kong (CN),137,449,27,1991,concrete,hospital
468,,Nan Fung Plaza 3,Hong Kong (CN),136.9,449,44,1999,concrete,residential
469,,Tierra Verde 9,Hong Kong (CN),136.6,448,48,2000,concrete,residential
470,,"Larvotto Towers 8, 9, 10",Hong Kong (CN),136.6,448,34,2011,concrete,residential
471,,Metro City II Tower 1,Hong Kong (CN),136.5,448,44,1999,concrete,residential
471,,Metro City II Tower 10,Hong Kong (CN),136.5,448,44,1999,concrete,residential
471,,Metro City II Tower 11,Hong Kong (CN),136.5,448,44,1999,concrete,residential
471,,Metro City II Tower 2,Hong Kong (CN),136.5,448,44,1999,concrete,residential
471,,Metro City II Tower 3,Hong Kong (CN),136.5,448,44,1999,concrete,residential
471,,Metro City II Tower 4,Hong Kong (CN),136.5,448,44,1999,concrete,residential
471,,Metro City II Tower 5,Hong Kong (CN),136.5,448,44,1999,concrete,residential
471,,Metro City II Tower 6,Hong Kong (CN),136.5,448,44,1999,concrete,residential
471,,Metro City II Tower 7,Hong Kong (CN),136.5,448,44,1999,concrete,residential
471,,Metro City II Tower 8,Hong Kong (CN),136.5,448,44,1999,concrete,residential
471,,Metro City II Tower 9,Hong Kong (CN),136.5,448,44,1999,concrete,residential
482,,Wan Chai Tower,Hong Kong (CN),136.5,448,32,1985,,office
483,,Singga Commercial Centre,Hong Kong (CN),136,446,41,1982,,office
484,,OLIV,Hong Kong (CN),135.6,445,25,2014,concrete,retail
485,,Top Glory Tower,Hong Kong (CN),135.3,444,31,1993,,office
486,,Pacific View 1-5,Hong Kong (CN),135,443,47,1990,concrete,residential
487,,9 Des Voeux Road West,Hong Kong (CN),135,443,31,1994,,office
488,,Tierra Verde 7,Hong Kong (CN),133.8,439,47,2000,concrete,residential
488,,Tierra Verde 8,Hong Kong (CN),133.8,439,47,2000,concrete,residential
490,,One Chinachem Central,Hong Kong (CN),133.6,438,27,2016,steel,office / retail
491,,Regence Royale Tower II,Hong Kong (CN),133.2,437,39,2000,concrete,residential
492,,Regence Royale Tower I,Hong Kong (CN),133,436,39,2000,concrete,residential
493,,Lai Tin House,Hong Kong (CN),132.3,434,44,1975,concrete,residential
493,,Tai Tin House,Hong Kong (CN),132.3,434,44,1975,concrete,residential
495,,Grand Hyatt Hong Kong,Hong Kong (CN),132,433,46,1989,,hotel
496,,Kingston Terrace Block 1,Hong Kong (CN),132,433,41,2002,concrete,residential
496,,Kingston Terrace Block 2,Hong Kong (CN),132,433,41,2002,concrete,residential
496,,Kingston Terrace Block 3,Hong Kong (CN),132,433,41,2002,concrete,residential
496,,Kingston Terrace Block 4,Hong Kong (CN),132,433,41,2002,concrete,residential
500,,Queen's Terrace 3,Hong Kong (CN),132,433,41,2002,concrete,residential
